,lat,long,Uwind,Vwind,WS,WD,Temperature,Cloud,Flux
0107200000,35.1999999999999,24.00000000000007,-0.07563304901123047,-0.6589927673339844,0.6633187532424927,6.5472259521484375,297.64697265625,0.0,0.0
0107200100,35.1999999999999,24.00000000000007,0.1680431365966797,-0.8594732284545898,0.8757469654083252,348.9371643066406,297.890869140625,0.0,0.0
0107200200,35.1999999999999,24.00000000000007,-0.10640811920166016,-1.005732536315918,1.0113459825515747,6.039520263671875,298.089111328125,0.0,0.0
0107200300,35.1999999999999,24.00000000000007,-0.8167934417724609,-0.8454303741455078,1.1755441427230835,44.01300048828125,297.702880859375,0.0,0.0
0107200400,35.1999999999999,24.00000000000007,-0.9484291076660156,-0.760528564453125,1.2156978845596313,51.27449035644531,298.55859375,0.0,85001.265625
0107200500,35.1999999999999,24.00000000000007,-0.6004753112792969,-0.09147357940673828,0.6074026823043823,81.33842468261719,298.919189453125,0.0,681421.75
0107200600,35.1999999999999,24.00000000000007,-0.049391746520996094,0.6061668395996094,0.6081758141517639,175.34170532226562,297.619873046875,0.0,1980903.0
0107200700,35.1999999999999,24.00000000000007,0.1613759994506836,1.1346473693847656,1.1460658311843872,188.0946502685547,296.952392578125,0.0,3984370.0
0107200800,35.1999999999999,24.00000000000007,-0.05649852752685547,1.1963119506835938,1.1976453065872192,177.29608154296875,297.513427734375,0.0,6607114.0
0107200900,35.1999999999999,24.00000000000007,-0.16048812866210938,1.4418811798095703,1.4507852792739868,173.6488494873047,298.4892578125,0.0,9713407.0
0107201000,35.1999999999999,24.00000000000007,-0.1436614990234375,1.5328855514526367,1.5396027565002441,174.64590454101562,299.67333984375,0.0,13129325.0
0107201100,35.1999999999999,24.00000000000007,0.1585836410522461,1.7208929061889648,1.728184461593628,185.26504516601562,299.039306640625,0.0,16653031.0
0107201200,35.1999999999999,24.00000000000007,0.34796619415283203,1.5404729843139648,1.5792838335037231,192.728515625,298.811279296875,0.0,20066648.0
0107201300,35.1999999999999,24.00000000000007,0.5461978912353516,1.5215749740600586,1.616639256477356,199.74655151367188,298.55908203125,0.0,23160176.0
0107201400,35.1999999999999,24.00000000000007,0.5865859985351562,1.1634721755981445,1.3029775619506836,206.75579833984375,298.7080078125,0.0,25750304.0
0107201500,35.1999999999999,24.00000000000007,0.7807350158691406,0.528691291809082,0.9429006576538086,235.89527893066406,298.7021484375,0.0,27704272.0
0107201600,35.1999999999999,24.00000000000007,0.8648853302001953,0.15582561492919922,0.878810703754425,259.7866516113281,298.343994140625,0.0,28946912.0
